ID,list,case,sex,age,acq_date,condition,stim_nr,stim_category,stim_A,stim_T,AC,TY
381,1,38,weiblich,18,2021-04-13T22:47:46Z,dynamisch,43,tragen,A_Trage1_15,T_Trage1,tragen,5
381,1,38,weiblich,18,2021-04-13T22:47:46Z,dynamisch,44,tragen,A_Trage2_15,T_Trage2,tragen,5
381,1,38,weiblich,18,2021-04-13T22:47:46Z,dynamisch,45,tragen,A_Trage3_15,T_Trage3,tragen,7
381,1,38,weiblich,18,2021-04-13T22:47:46Z,dynamisch,46,verdrehen,A_Verdr1_16,T_Verdr1,massieren,1
381,1,38,weiblich,18,2021-04-13T22:47:46Z,dynamisch,47,verdrehen,A_Verdr2_16,T_Verdr2,verdrehen,3
381,1,38,weiblich,18,2021-04-13T22:47:46Z,dynamisch,48,verdrehen,A_Verdr3_16,T_Verdr3,verdrehen,7
381,1,38,weiblich,18,2021-04-13T22:47:46Z,dynamisch,49,waschen,A_Wasch1_17,T_Wasch1,schrubben,1
381,1,38,weiblich,18,2021-04-13T22:47:46Z,dynamisch,50,waschen,A_Wasch2_17,T_Wasch2,waschen,7
381,1,38,weiblich,18,2021-04-13T22:47:46Z,dynamisch,51,waschen,A_Wasch3_17,T_Wasch3,schrubben,1
381,1,38,weiblich,18,2021-04-13T22:47:46Z,dynamisch,52,zurückschneiden,A_Zurue1_18,T_Zurue1,zurückschneiden,7
381,1,38,weiblich,18,2021-04-13T22:47:46Z,dynamisch,53,zurückschneiden,A_Zurue2_18,T_Zurue2,zurückschneiden,5
381,1,38,weiblich,18,2021-04-13T22:47:46Z,dynamisch,54,zurückschneiden,A_Zurue3_18,T_Zurue3,zurückschneiden,6
340,1,39,weiblich,19,2021-04-14T07:59:48Z,dynamisch,1,anschmiegen,A_Ansch1_1,T_Ansch1,anschmiegen,5
340,1,39,weiblich,19,2021-04-14T07:59:48Z,dynamisch,2,anschmiegen,A_Ansch2_1,T_Ansch2,anschmiegen,6
340,1,39,weiblich,19,2021-04-14T07:59:48Z,dynamisch,3,anschmiegen,A_Ansch3_1,T_Ansch3,anschmiegen,6
340,1,39,weiblich,19,2021-04-14T07:59:48Z,dynamisch,4,anzünden,A_Anzue1_2,T_Anzue1,anzünden,7
340,1,39,weiblich,19,2021-04-14T07:59:48Z,dynamisch,5,anzünden,A_Anzue2_2,T_Anzue2,anzünden,6
340,1,39,weiblich,19,2021-04-14T07:59:48Z,dynamisch,6,anzünden,A_Anzue3_2,T_Anzue3,anzünden,7
340,1,39,weiblich,19,2021-04-14T07:59:48Z,dynamisch,7,aufwachen,A_Aufwa1_3,T_Aufwa1,aufwachen,6
340,1,39,weiblich,19,2021-04-14T07:59:48Z,dynamisch,8,aufwachen,A_Aufwa2_3,T_Aufwa2,aufwachen,6
340,1,39,weiblich,19,2021-04-14T07:59:48Z,dynamisch,9,aufwachen,A_Aufwa3_3,T_Aufwa3,aufwachen,7
340,1,39,weiblich,19,2021-04-14T07:59:48Z,dynamisch,10,einpacken,A_Einpa1_4,T_Einpa1,einpacken,7
340,1,39,weiblich,19,2021-04-14T07:59:48Z,dynamisch,11,einpacken,A_Einpa2_4,T_Einpa2,einpacken,6
340,1,39,weiblich,19,2021-04-14T07:59:48Z,dynamisch,12,einpacken,A_Einpa3_4,T_Einpa3,einpacken,7
340,1,39,weiblich,19,2021-04-14T07:59:48Z,dynamisch,13,einstecken,A_Einst1_5,T_Einst1,verdrehen,3
340,1,39,weiblich,19,2021-04-14T07:59:48Z,dynamisch,14,einstecken,A_Einst2_5,T_Einst2,verdrehen,3
340,1,39,weiblich,19,2021-04-14T07:59:48Z,dynamisch,15,einstecken,A_Einst3_5,T_Einst3,einstecken,4
340,1,39,weiblich,19,2021-04-14T07:59:48Z,dynamisch,16,eintippen,A_Einti1_6,T_Einti1,schreiben,7
340,1,39,weiblich,19,2021-04-14T07:59:48Z,dynamisch,17,eintippen,A_Einti2_6,T_Einti2,schreiben,7
340,1,39,weiblich,19,2021-04-14T07:59:48Z,dynamisch,18,eintippen,A_Einti3_6,T_Einti3,schreiben,7
340,1,39,weiblich,19,2021-04-14T07:59:48Z,dynamisch,19,eintreten,A_Eintr1_7,T_Eintr1,eintreten,5
340,1,39,weiblich,19,2021-04-14T07:59:48Z,dynamisch,20,eintreten,A_Eintr2_7,T_Eintr2,eintreten,7
340,1,39,weiblich,19,2021-04-14T07:59:48Z,dynamisch,21,eintreten,A_Eintr3_7,T_Eintr3,eintreten,7
340,1,39,weiblich,19,2021-04-14T07:59:48Z,dynamisch,22,lernen,A_Lerne1_8,T_Lerne1,lernen,5
340,1,39,weiblich,19,2021-04-14T07:59:48Z,dynamisch,23,lernen,A_Lerne2_8,T_Lerne2,schreiben,5
340,1,39,weiblich,19,2021-04-14T07:59:48Z,dynamisch,24,lernen,A_Lerne3_8,T_Lerne3,lernen,7
340,1,39,weiblich,19,2021-04-14T07:59:48Z,dynamisch,25,massieren,A_Massi1_9,T_Massi1,massieren,7
340,1,39,weiblich,19,2021-04-14T07:59:48Z,dynamisch,26,massieren,A_Massi2_9,T_Massi2,massieren,7
340,1,39,weiblich,19,2021-04-14T07:59:48Z,dynamisch,27,massieren,A_Massi3_9,T_Massi3,massieren,7
340,1,39,weiblich,19,2021-04-14T07:59:48Z,dynamisch,28,säen,A_Saeen1_10,T_Saeen1,säen,7
340,1,39,weiblich,19,2021-04-14T07:59:48Z,dynamisch,29,säen,A_Saeen2_10,T_Saeen2,säen,7
340,1,39,weiblich,19,2021-04-14T07:59:48Z,dynamisch,30,säen,A_Saeen3_10,T_Saeen3,säen,7
340,1,39,weiblich,19,2021-04-14T07:59:48Z,dynamisch,31,schlagen,A_Schla1_11,T_Schla1,schlagen,7
340,1,39,weiblich,19,2021-04-14T07:59:48Z,dynamisch,32,schlagen,A_Schla2_11,T_Schla2,schlagen,6
340,1,39,weiblich,19,2021-04-14T07:59:48Z,dynamisch,33,schlagen,A_Schla3_11,T_Schla3,schlagen,7
340,1,39,weiblich,19,2021-04-14T07:59:48Z,dynamisch,34,schreiben,A_Schre1_12,T_Schre1,schreiben,7
340,1,39,weiblich,19,2021-04-14T07:59:48Z,dynamisch,35,schreiben,A_Schre2_12,T_Schre2,schreiben,7
340,1,39,weiblich,19,2021-04-14T07:59:48Z,dynamisch,36,schreiben,A_Schre3_12,T_Schre3,schreiben,7
340,1,39,weiblich,19,2021-04-14T07:59:48Z,dynamisch,37,schrubben,A_Schru1_13,T_Schru1,schrubben,7
340,1,39,weiblich,19,2021-04-14T07:59:48Z,dynamisch,38,schrubben,A_Schru2_13,T_Schru2,schrubben,7
340,1,39,weiblich,19,2021-04-14T07:59:48Z,dynamisch,39,schrubben,A_Schru3_13,T_Schru3,schrubben,6
340,1,39,weiblich,19,2021-04-14T07:59:48Z,dynamisch,40,tauchen,A_Tauch1_14,T_Tauch1,tauchen,7
340,1,39,weiblich,19,2021-04-14T07:59:48Z,dynamisch,41,tauchen,A_Tauch2_14,T_Tauch2,tauchen,7
340,1,39,weiblich,19,2021-04-14T07:59:48Z,dynamisch,42,tauchen,A_Tauch3_14,T_Tauch3,tauchen,7
340,1,39,weiblich,19,2021-04-14T07:59:48Z,dynamisch,43,tragen,A_Trage1_15,T_Trage1,tragen,7
340,1,39,weiblich,19,2021-04-14T07:59:48Z,dynamisch,44,tragen,A_Trage2_15,T_Trage2,tragen,7
340,1,39,weiblich,19,2021-04-14T07:59:48Z,dynamisch,45,tragen,A_Trage3_15,T_Trage3,tragen,7
340,1,39,weiblich,19,2021-04-14T07:59:48Z,dynamisch,46,verdrehen,A_Verdr1_16,T_Verdr1,verdrehen,6
340,1,39,weiblich,19,2021-04-14T07:59:48Z,dynamisch,47,verdrehen,A_Verdr2_16,T_Verdr2,verdrehen,5
340,1,39,weiblich,19,2021-04-14T07:59:48Z,dynamisch,48,verdrehen,A_Verdr3_16,T_Verdr3,verdrehen,7
340,1,39,weiblich,19,2021-04-14T07:59:48Z,dynamisch,49,waschen,A_Wasch1_17,T_Wasch1,schrubben,7
340,1,39,weiblich,19,2021-04-14T07:59:48Z,dynamisch,50,waschen,A_Wasch2_17,T_Wasch2,waschen,7
340,1,39,weiblich,19,2021-04-14T07:59:48Z,dynamisch,51,waschen,A_Wasch3_17,T_Wasch3,waschen,7
340,1,39,weiblich,19,2021-04-14T07:59:48Z,dynamisch,52,zurückschneiden,A_Zurue1_18,T_Zurue1,zurückschneiden,6
340,1,39,weiblich,19,2021-04-14T07:59:48Z,dynamisch,53,zurückschneiden,A_Zurue2_18,T_Zurue2,zurückschneiden,7
